Row	Col.	Element
26	14	0.00956
27	14	0.00775
28	14	-0.00700
29	14	0.00102
30	14	0.00610
31	14	0.00135
32	14	-0.00012
33	14	0.00234
34	14	0.00126
35	14	0.00155
36	14	-0.00096
37	14	-0.00025
38	14	-0.00127
39	14	0.00078
40	14	-0.00021
41	14	-0.00049
42	14	-0.00163
43	14	-0.01120
44	14	-0.00659
45	14	0.01051
46	14	-0.00610
47	14	-0.00250
48	14	0.00419
49	14	0.00007
50	14	0.00638
51	14	-0.00074
52	14	0.00014
53	14	0.00014
54	14	-0.00068
55	14	-0.00020
56	14	0.00335
57	14	-0.00280
58	14	0.00005
59	14	-0.00157
60	14	-0.00076
61	14	0.00021
62	14	-0.00223
63	14	0.00194
64	14	0.00069
65	14	-0.00004
66	14	0.00107
67	14	0.00110
68	14	0.00089
69	14	0.00210
70	14	0.00371
71	14	-0.00021
72	14	-0.00032
73	14	-0.00427
74	14	-0.00225
75	14	0.00019
76	14	0.00002
77	14	-0.00003
78	14	-0.00026
79	14	0.00004
80	14	-0.00002
81	14	-0.00002
82	14	0.00013
83	14	0.00002
84	14	-0.00001
85	14	-0.00005
86	14	0.00017
87	14	0.00003
88	14	0.00010
1	15	0.02154
2	15	-0.00296
3	15	0.01955
4	15	0.00077
5	15	0.00838
6	15	0.00283
7	15	0.01520
8	15	0.01152
9	15	-0.00593
10	15	-0.00900
11	15	0.02571
12	15	-0.02643
13	15	-0.01611
14	15	0.02140
15	15	0.98122
16	15	-0.20784
17	15	-0.00552
18	15	-0.02320
19	15	-0.04098
20	15	0.00655
21	15	0.00639
22	15	-0.00611
23	15	0.00604
24	15	-0.00169
25	15	-0.00618
26	15	0.00058
27	15	-0.01052
28	15	-0.00314
29	15	0.00045
30	15	-0.00578
31	15	-0.00095
32	15	0.00428
33	15	-0.00138
34	15	-0.00136
35	15	-0.00110
36	15	0.00087
37	15	-0.00015
38	15	0.00159
39	15	-0.00032
40	15	0.00127
41	15	0.00018
42	15	-0.00023
43	15	-0.00091
44	15	-0.00197
45	15	0.00181
46	15	-0.00289
47	15	-0.00036
48	15	0.00064
49	15	0.00217
50	15	0.00175
51	15	-0.00073
52	15	-0.00057
53	15	0.00055
54	15	0.00049
55	15	0.00595
56	15	0.00214
57	15	-0.00195
58	15	0.00183
59	15	0.00206
60	15	0.00006
61	15	-0.00082
62	15	-0.00091
63	15	0.00100
64	15	0.00115
65	15	-0.00185
66	15	-0.00172
67	15	0.00080
68	15	0.00044
69	15	0.00471
70	15	0.00198
71	15	0.00071
72	15	0.00108
73	15	-0.00199
74	15	-0.00395
75	15	-0.00278
76	15	-0.00004
77	15	-0.00006
78	15	-0.00009
79	15	-0.00007
80	15	-0.00001
81	15	0.00008
82	15	0.00012
83	15	-0.00001
84	15	-0.00008
85	15	0.00006
86	15	0.00005
87	15	0.00009
88	15	-0.00011
1	16	0.01911
2	16	-0.00766
3	16	0.05302
4	16	0.01113
5	16	-0.00299
6	16	0.00288
7	16	0.03009
8	16	0.02268
9	16	-0.02670
10	16	-0.00070
11	16	0.01790
12	16	-0.00718
13	16	-0.00243
14	16	0.00454
15	16	0.21092
16	16	0.97056
17	16	0.00153
18	16	-0.02536
19	16	-0.00667
20	16	0.00363
21	16	0.00352
22	16	-0.01569
23	16	0.00392
24	16	0.00948
25	16	-0.00448
26	16	0.00687
27	16	-0.00832
28	16	-0.01160
29	16	-0.00051
30	16	-0.00453
31	16	-0.00096
32	16	0.00661
33	16	0.00095
34	16	-0.00060
35	16	-0.00012
36	16	0.00359
37	16	0.00016
38	16	0.00368
39	16	0.00070
40	16	0.00283
41	16	0.00018
42	16	0.00057
43	16	-0.00014
44	16	-0.00064
45	16	0.00142
46	16	0.00149
47	16	-0.00044
